"","Mal","Endo.","CAF","T.CD8","NK","Macrophage","pDC","skinDC","T.CD4","B.cell"
"mix13796",0.160130718954248,0.0228758169934641,0.0196078431372549,0.321895424836601,0.0065359477124183,0.0735294117647059,0.00490196078431373,0.0130718954248366,0.155228758169935,0.222222222222222
"mix3207",0.51310861423221,0.00842696629213483,0.00280898876404494,0.27434456928839,0.00374531835205993,0.0243445692883895,0,0.00187265917602996,0.0730337078651685,0.098314606741573
"mix9562",0.534804753820034,0.0067911714770798,0.0152801358234295,0.152801358234295,0.0152801358234295,0.032258064516129,0.00848896434634975,0.0152801358234295,0.151103565365025,0.067911714770798
"mix625",0.601694915254237,0.00282485875706215,0.00282485875706215,0.141242937853107,0.019774011299435,0.0282485875706215,0.00282485875706215,0.0112994350282486,0.104519774011299,0.0847457627118644
"mix14124",0.175409836065574,0.0245901639344262,0.0147540983606557,0.314754098360656,0.0245901639344262,0.0229508196721311,0.00819672131147541,0.0114754098360656,0.198360655737705,0.204918032786885
"mix17226",0.241917502787068,0.00222965440356745,0.0356744704570792,0.441471571906354,0.0100334448160535,0.119286510590858,0.00111482720178372,0.012263099219621,0.0958751393534002,0.040133779264214
"mix2094",0.208273894436519,0.00285306704707561,0.0399429386590585,0.549215406562054,0.00855920114122682,0.0156918687589158,0,0.00570613409415121,0.112696148359486,0.0570613409415121
"mix8502",0.23728813559322,0.0338983050847458,0.0338983050847458,0.195856873822976,0.0188323917137476,0.0150659133709981,0.00564971751412429,0.00564971751412429,0.193973634651601,0.259887005649718
"mix7650",0.436853002070393,0,0,0.194616977225673,0.0020703933747412,0.198757763975155,0.0020703933747412,0.020703933747412,0.0910973084886128,0.0538302277432712
"mix3482",0.557507987220447,0.0103833865814696,0.0119808306709265,0.23961661341853,0.0023961661341853,0.0271565495207668,0,0,0.0623003194888179,0.0886581469648562
"mix3074",0.464800678541137,0.00763358778625954,0.00254452926208651,0.295165394402036,0.00424088210347752,0.00508905852417303,0,0.00424088210347752,0.10008481764207,0.116200169635284
"mix3453",0.53728813559322,0.0110169491525424,0.0177966101694915,0.235593220338983,0.00677966101694915,0.0220338983050847,0,0.000847457627118644,0.0644067796610169,0.104237288135593
"mix13466",0.250366032210835,0.0234260614934114,0.0146412884333821,0.112737920937042,0.0117130307467057,0.149341142020498,0.00732064421669107,0.0219619326500732,0.161054172767204,0.247437774524158
"mix10187",0.262016965127238,0.0150801131008483,0.00942507068803016,0.342130065975495,0.00377002827521206,0.0424128180961357,0.00659754948162111,0.00848256361922714,0.11875589066918,0.191328934967012
"mix1158",0.250950570342205,0.026615969581749,0.026615969581749,0.228136882129278,0.0114068441064639,0.0171102661596958,0.00570342205323194,0.0190114068441065,0.161596958174905,0.252851711026616
"mix7449",0.338329764453961,0,0,0.447537473233405,0.0171306209850107,0.0364025695931477,0.00214132762312634,0.012847965738758,0.134903640256959,0.0107066381156317
"mix13394",0.182389937106918,0.0251572327044025,0.0235849056603774,0.213836477987421,0.0172955974842767,0.0330188679245283,0.00786163522012579,0.0157232704402516,0.19496855345912,0.286163522012579
"mix8418",0.340136054421769,0.0244897959183673,0.036734693877551,0.22312925170068,0.00680272108843537,0.0149659863945578,0.0054421768707483,0.00408163265306122,0.138775510204082,0.205442176870748
"mix13228",0.0293159609120521,0.0228013029315961,0.0146579804560261,0.273615635179153,0.0325732899022801,0.0162866449511401,0.00651465798045603,0.011400651465798,0.224755700325733,0.368078175895765
"mix16752",0.167641325536062,0.00194931773879142,0.0263157894736842,0.640350877192982,0.0107212475633528,0.0321637426900585,0.00292397660818713,0.00974658869395711,0.106237816764133,0.00194931773879142
"mix5867",0.265275707898659,0.00596125186289121,0.0029806259314456,0.327868852459016,0.0163934426229508,0.0566318926974665,0.00596125186289121,0.0163934426229508,0.125186289120715,0.177347242921013
