"","Mal","Endo.","CAF","T.CD8","NK","Macrophage","pDC","skinDC","T.CD4","B.cell"
"Mel78",0.983606557377049,0,0.00819672131147541,0,0,0,0,0,0,0.00819672131147541
"Mel79",0.565774155995343,0.010477299185099,0.00349243306169965,0.260768335273574,0.00116414435389988,0.00116414435389988,0,0,0.0558789289871944,0.10128055878929
"Mel71",0.729411764705882,0,0,0.176470588235294,0,0.0117647058823529,0,0.0117647058823529,0.0705882352941176,0
"Mel81",0.731707317073171,0.024390243902439,0.0548780487804878,0.109756097560976,0.0121951219512195,0.00609756097560976,0,0,0.0426829268292683,0.0182926829268293
"Mel89",0.289017341040462,0.00578034682080925,0.00289017341040462,0.297687861271676,0.00289017341040462,0.0520231213872832,0.00578034682080925,0.00578034682080925,0.0867052023121387,0.251445086705202
"Mel82",0.146341463414634,0,0.0975609756097561,0.146341463414634,0.0731707317073171,0.0731707317073171,0,0.121951219512195,0.268292682926829,0.0731707317073171
"Mel94",0.0251046025104603,0.0585774058577406,0.0376569037656904,0.108786610878661,0.00418410041841004,0.00836820083682008,0.0125523012552301,0.00836820083682008,0.251046025104602,0.485355648535565
"Mel60",0.0591133004926108,0,0,0.172413793103448,0.0443349753694581,0.0197044334975369,0,0.0147783251231527,0.167487684729064,0.522167487684729
"Mel84",0.122137404580153,0.0152671755725191,0.00763358778625954,0.198473282442748,0.0534351145038168,0.122137404580153,0.00763358778625954,0.0534351145038168,0.190839694656489,0.229007633587786
"Mel75",0,0.00453514739229025,0.0612244897959184,0.786848072562358,0.0136054421768707,0.0113378684807256,0,0.0090702947845805,0.113378684807256,0
"Mel74",0,0,0,0.709677419354839,0.0161290322580645,0.032258064516129,0,0.0241935483870968,0.112903225806452,0.104838709677419
"Mel58",0,0,0,0.697247706422018,0.0275229357798165,0.0275229357798165,0.00917431192660551,0.00917431192660551,0.211009174311927,0.018348623853211
"Mel72",0,0,0,0.189189189189189,0.018018018018018,0,0,0.00900900900900901,0.45045045045045,0.333333333333333
"Mel194",0.41025641025641,0,0,0.465811965811966,0,0.0170940170940171,0.00427350427350427,0.00427350427350427,0.0982905982905983,0
"Mel102",0.58477508650519,0,0,0.110726643598616,0,0.0519031141868512,0.0173010380622837,0.027681660899654,0.162629757785467,0.0449826989619377
"Mel98",0.31404958677686,0,0,0.516528925619835,0.00826446280991736,0.0867768595041322,0.00413223140495868,0.0165289256198347,0.0537190082644628,0
"Mel110",0.5125,0,0,0.0666666666666667,0,0.341666666666667,0.00416666666666667,0.025,0.0458333333333333,0.00416666666666667
"Mel112",0.285714285714286,0,0.0918367346938776,0.112244897959184,0.0204081632653061,0.0408163265306122,0,0,0.122448979591837,0.326530612244898
"Mel103",0.474048442906574,0.0069204152249135,0,0.197231833910035,0,0.027681660899654,0.0069204152249135,0.013840830449827,0.0519031141868512,0.221453287197232
"Mel105",0.0828402366863905,0.236686390532544,0.0177514792899408,0.195266272189349,0.0236686390532544,0.0236686390532544,0,0.0177514792899408,0.224852071005917,0.177514792899408
"Mel106",0.598726114649682,0,0.0318471337579618,0.0509554140127389,0,0,0,0,0.101910828025478,0.21656050955414
"Mel116",0,0,0,0.446153846153846,0,0.0615384615384615,0,0,0.230769230769231,0.261538461538462
"Mel126",0,0,0,0.635294117647059,0.0117647058823529,0.129411764705882,0,0.0352941176470588,0.152941176470588,0.0352941176470588
"Mel129pa",0.560975609756098,0,0.0182926829268293,0.176829268292683,0,0.170731707317073,0,0,0.0487804878048781,0.024390243902439
"Mel129pb",0,0,0,0.423728813559322,0.0508474576271186,0.338983050847458,0,0.0169491525423729,0.152542372881356,0.0169491525423729
"Mel04.3",0,0,0,0.492063492063492,0.111111111111111,0.0158730158730159,0,0.0158730158730159,0.333333333333333,0.0317460317460317
"Mel121.1",0.0675675675675676,0.0135135135135135,0,0.351351351351351,0.0945945945945946,0.0945945945945946,0.0135135135135135,0.0405405405405405,0.22972972972973,0.0945945945945946
"Mel128",0.356164383561644,0,0,0.123287671232877,0,0.0273972602739726,0,0,0.191780821917808,0.301369863013699
